date,new_cases,reviews
2021-10-01,154614.0,4.0
2021-10-02,47004.0,0.0
2021-10-03,43605.0,0.0
2021-10-04,145471.0,5.0
2021-10-05,95371.0,0.0
2021-10-06,112990.0,0.0
2021-10-07,101457.0,0.0
2021-10-08,131725.0,1.0
2021-10-09,37702.0,4.0
2021-10-10,38910.0,0.0
2021-10-11,97491.0,0.0
2021-10-12,111132.0,0.0
2021-10-13,108855.0,0.0
2021-10-14,86983.0,0.0
2021-10-15,109841.0,0.0
2021-10-16,39238.0,0.0
2021-10-17,31083.0,0.0
2021-10-18,100040.0,0.0
2021-10-19,81282.0,0.0
2021-10-20,91953.0,0.0
2021-10-21,77932.0,5.0
2021-10-22,96383.0,2.0
2021-10-23,31839.0,0.0
2021-10-24,18573.0,0.0
2021-10-25,111124.0,0.0
2021-10-26,69230.0,0.0
2021-10-27,102378.0,0.0
2021-10-28,75757.0,3.0
2021-10-29,95135.0,0.0
2021-10-30,33870.0,0.0
2021-10-31,32029.0,0.0
2021-11-01,111482.0,0.0
2021-11-02,70970.0,0.0
2021-11-03,85373.0,1.0
2021-11-04,81737.0,0.0
2021-11-05,96696.0,0.0
2021-11-06,34607.0,0.0
2021-11-07,36314.0,0.0
2021-11-08,109044.0,2.0
2021-11-09,79972.0,0.0
2021-11-10,95714.0,0.0
2021-11-11,56672.0,3.0
2021-11-12,144835.0,0.0
2021-11-13,43509.0,0.0
2021-11-14,31221.0,0.0
2021-11-15,134823.0,2.0
2021-11-16,87075.0,0.0
2021-11-17,112690.0,0.0
2021-11-18,110202.0,2.0
2021-11-19,126926.0,3.0
2021-11-20,44805.0,1.0
2021-11-21,39235.0,2.0
2021-11-22,145664.0,0.0
2021-11-23,91290.0,1.0
2021-11-24,111545.0,0.0
2021-11-25,39058.0,1.0
2021-11-26,52706.0,0.0
2021-11-27,26017.0,2.0
2021-11-28,42510.0,1.0
2021-11-29,187743.0,4.0
2021-11-30,117338.0,1.0
2021-12-01,136997.0,0.0
2021-12-02,139223.0,0.0
2021-12-03,158649.0,1.0
2021-12-04,65594.0,3.0
2021-12-05,54268.0,3.0
2021-12-06,179487.0,2.0
2021-12-07,113242.0,8.0
2021-12-08,149672.0,0.0
2021-12-09,122449.0,1.0
2021-12-10,160678.0,0.0
2021-12-11,55832.0,1.0
2021-12-12,51317.0,0.0
2021-12-13,187085.0,1.0
2021-12-14,114824.0,1.0
2021-12-15,143579.0,2.0
2021-12-16,141601.0,0.0
2021-12-17,192768.0,3.0
2021-12-18,77785.0,1.0
2021-12-19,87794.0,0.0
2021-12-20,242418.0,3.0
2021-12-21,178375.0,2.0
2021-12-22,240739.0,2.0
2021-12-23,269736.0,3.0
2021-12-24,233455.0,0.0
2021-12-25,72805.0,0.0
2021-12-26,195707.0,4.0
2021-12-27,508608.0,7.0
2021-12-28,356004.0,4.0
2021-12-29,498385.0,1.0
2021-12-30,588268.0,0.0
2021-12-31,489839.0,5.0
2022-01-01,166270.0,1.0
2022-01-02,304127.0,0.0
2022-01-03,1076455.0,0.0
2022-01-04,805555.0,0.0
2022-01-05,644454.0,0.0
2022-01-06,814640.0,0.0
2022-01-07,856790.0,0.0
2022-01-08,385743.0,0.0
2022-01-09,475744.0,0.0
2022-01-10,1368382.0,0.0
2022-01-11,769245.0,0.0
2022-01-12,909536.0,0.0
2022-01-13,840125.0,0.0
2022-01-14,858951.0,0.0
2022-01-15,393581.0,0.0
2022-01-16,467356.0,0.0
